Voter_ID,State,Region,Age,Gender,Education_Level,Occupation,Income_Bracket,Polling_Station_Type,Party_Preference,Voted,Satisfaction_with_Government,Satisfaction_with_Local_Representative,Key_Issue,Is_First_Time_Voter,Predicted_Winner,Has_Voter_ID,Distance_to_Polling_Station_km,Time_Spent_in_Queue_minutes,Weather_on_Polling_Day,Social_Media_Influence,Voter_Satisfaction_Score
VOTER_58,Uttar Pradesh,North,61,Other,Higher Secondary,Unemployed,Low,Urban,Party A,Yes,1,1,Corruption,No,Party D,Yes,21.46,59,Rainy,5,1.6
VOTER_59,Tamil Nadu,East,51,Other,Primary,Unemployed,Upper Middle,Rural,Party A,No,4,5,Women Safety,Yes,Party A,No,23.44,40,Rainy,5,8.5
VOTER_60,Uttar Pradesh,West,79,Other,No Schooling,Student,Middle,Urban,Party D,No,5,2,Women Safety,Yes,Party D,Yes,17.8,37,Rainy,5,5.8
VOTER_61,Maharashtra,South,31,Other,No Schooling,Homemaker,Upper Middle,Urban,Party C,No,5,2,Women Safety,Yes,Party D,No,8.64,19,Cloudy,1,8.5
VOTER_62,West Bengal,North,65,Other,Post Graduate,Engineer,Middle,Rural,Party E,Yes,5,4,Unemployment,Yes,Party A,Yes,24.65,67,Sunny,3,2.7
VOTER_63,Karnataka,Central,32,Female,Post Graduate,Teacher,Low,Urban,Party A,No,2,1,Unemployment,No,Party A,No,11.13,141,Rainy,3,7.8
VOTER_64,Bihar,East,79,Other,Graduate,Unemployed,Low,Rural,Party D,No,1,2,Unemployment,No,Party A,No,7.05,57,Sunny,2,8.2
VOTER_65,Karnataka,South,57,Female,Secondary,Student,High,Rural,Party E,No,4,5,Unemployment,Yes,Party E,Yes,7.22,101,Cloudy,5,1.2
VOTER_66,Rajasthan,West,70,Other,Primary,Student,Upper Middle,Urban,Party B,No,2,1,Crime,Yes,Party A,No,6.77,67,Rainy,5,3.9
VOTER_67,Tamil Nadu,North,41,Female,Primary,Unemployed,High,Urban,Party D,No,2,2,Crime,Yes,Party E,Yes,3.54,131,Rainy,2,6.0
VOTER_68,Andhra Pradesh,South,43,Female,Secondary,Farmer,Middle,Rural,Party E,Yes,3,4,Crime,No,Party E,No,2.7,141,Cloudy,1,9.1
VOTER_69,Uttar Pradesh,Central,77,Male,Secondary,Retired,Low,Rural,Party D,Yes,4,4,Infrastructure,Yes,Party D,Yes,10.58,67,Rainy,2,3.6
VOTER_70,Tamil Nadu,East,58,Other,Post Graduate,Teacher,High,Rural,Party C,No,5,4,Unemployment,Yes,Party E,Yes,16.23,140,Cloudy,3,8.4
VOTER_71,Tamil Nadu,North,46,Other,Graduate,Homemaker,High,Urban,Party C,No,5,4,Education,No,Party D,No,5.08,32,Rainy,5,6.8
VOTER_72,Andhra Pradesh,South,32,Male,Secondary,Farmer,Upper Middle,Urban,Party A,Yes,3,1,Agriculture,Yes,Party C,No,14.06,78,Cloudy,2,3.0
VOTER_73,Karnataka,West,62,Other,Post Graduate,Unemployed,High,Rural,Party D,No,5,1,Corruption,No,Party D,Yes,12.03,167,Cloudy,4,5.3
VOTER_74,Tamil Nadu,West,82,Male,Higher Secondary,Homemaker,Upper Middle,Rural,Party A,No,1,2,Corruption,No,Party B,No,21.58,21,Cloudy,4,1.2
VOTER_75,Maharashtra,Central,26,Other,No Schooling,Engineer,High,Urban,Party C,No,5,5,Women Safety,No,Party C,No,14.55,172,Sunny,3,4.6
VOTER_76,Andhra Pradesh,East,18,Male,Graduate,Engineer,Middle,Urban,Party A,No,1,3,Unemployment,No,Party A,No,5.11,44,Rainy,4,8.9
VOTER_77,Bihar,Central,25,Male,No Schooling,Business,Low,Rural,Party B,Yes,3,3,Corruption,No,Party D,No,1.92,77,Sunny,1,3.7
VOTER_78,Maharashtra,South,80,Male,Primary,Teacher,Upper Middle,Urban,Party E,Yes,3,4,Unemployment,No,Party A,No,16.01,87,Sunny,3,5.2
VOTER_79,Bihar,North,28,Male,Secondary,Business,High,Urban,Party A,No,1,2,Crime,Yes,Party E,Yes,25.0,82,Rainy,2,7.6
VOTER_80,Uttar Pradesh,North,25,Male,Post Graduate,Homemaker,Upper Middle,Rural,Party D,Yes,5,3,Crime,Yes,Party A,Yes,2.26,116,Rainy,2,2.3
VOTER_81,Rajasthan,South,52,Female,Secondary,Student,High,Rural,Party E,Yes,3,3,Infrastructure,Yes,Party E,No,14.65,137,Sunny,5,7.2
VOTER_82,Madhya Pradesh,North,52,Male,No Schooling,Engineer,High,Urban,Party A,Yes,3,3,Education,No,Party E,Yes,18.81,160,Cloudy,2,5.5
VOTER_83,Gujarat,South,50,Other,Graduate,Student,High,Rural,Party A,Yes,1,3,Education,Yes,Party B,No,7.01,75,Rainy,3,5.9
VOTER_84,Rajasthan,Central,22,Other,Post Graduate,Unemployed,Middle,Rural,Party C,Yes,3,3,Women Safety,Yes,Party E,No,18.16,101,Rainy,4,2.2
VOTER_85,Uttar Pradesh,East,58,Other,Higher Secondary,Teacher,High,Urban,Party D,No,5,2,Unemployment,Yes,Party D,Yes,6.21,70,Sunny,2,7.4
VOTER_86,Uttar Pradesh,West,45,Female,Primary,Farmer,Upper Middle,Urban,Party D,No,3,3,Agriculture,Yes,Party C,Yes,4.3,88,Sunny,5,1.5
VOTER_87,Maharashtra,West,24,Female,Post Graduate,Student,Middle,Urban,Party A,No,1,3,Corruption,Yes,Party C,Yes,8.11,179,Sunny,2,5.2
VOTER_88,Rajasthan,West,29,Other,Post Graduate,Engineer,Middle,Urban,Party A,Yes,5,2,Corruption,No,Party E,No,13.97,51,Sunny,2,4.0
VOTER_89,Rajasthan,North,51,Other,No Schooling,Homemaker,Upper Middle,Rural,Party A,Yes,4,1,Unemployment,No,Party A,Yes,23.33,17,Cloudy,2,7.2
VOTER_90,Gujarat,Central,50,Other,Higher Secondary,Farmer,High,Rural,Party B,Yes,1,1,Corruption,No,Party A,No,17.46,121,Sunny,3,3.4
VOTER_91,Bihar,Central,65,Other,No Schooling,Teacher,Upper Middle,Urban,Party B,Yes,4,1,Unemployment,Yes,Party E,No,20.36,116,Cloudy,4,2.3
VOTER_92,Bihar,West,40,Male,Secondary,Laborer,Upper Middle,Urban,Party D,No,3,3,Healthcare,No,Party D,Yes,9.24,103,Rainy,1,7.2
VOTER_93,Karnataka,Central,79,Male,Graduate,Doctor,High,Urban,Party C,Yes,5,2,Women Safety,Yes,Party E,No,13.79,75,Cloudy,4,2.1
VOTER_94,Tamil Nadu,South,54,Male,Primary,Homemaker,High,Rural,Party A,Yes,3,1,Women Safety,No,Party B,Yes,22.15,123,Cloudy,3,9.2
VOTER_95,Bihar,West,61,Female,Higher Secondary,Doctor,Middle,Rural,Party A,No,5,4,Crime,No,Party A,No,19.26,147,Cloudy,3,7.8
VOTER_96,Karnataka,West,52,Female,Graduate,Teacher,Upper Middle,Rural,Party D,Yes,2,4,Unemployment,No,Party B,No,13.37,21,Rainy,5,4.9
VOTER_97,Bihar,East,82,Male,Post Graduate,Laborer,Middle,Rural,Party B,Yes,3,2,Corruption,No,Party B,Yes,15.63,90,Cloudy,2,3.7
VOTER_98,Tamil Nadu,West,64,Female,Secondary,Student,High,Urban,Party B,Yes,3,3,Unemployment,No,Party D,Yes,15.67,151,Sunny,1,7.1
VOTER_99,Uttar Pradesh,North,20,Female,Secondary,Farmer,Upper Middle,Urban,Party D,No,3,1,Unemployment,No,Party B,Yes,11.16,78,Cloudy,5,6.9
VOTER_100,West Bengal,South,18,Male,Post Graduate,Business,High,Rural,Party A,Yes,1,3,Women Safety,Yes,Party D,Yes,7.1,37,Rainy,4,5.8
VOTER_101,Tamil Nadu,Central,22,Male,Graduate,Engineer,Low,Urban,Party C,Yes,5,1,Corruption,No,Party E,Yes,3.26,21,Rainy,5,3.9
VOTER_102,Madhya Pradesh,North,31,Male,Post Graduate,Business,Middle,Rural,Party B,No,5,5,Corruption,No,Party E,No,5.83,24,Rainy,4,6.0
VOTER_103,West Bengal,South,44,Male,Graduate,Laborer,Middle,Urban,Party B,Yes,5,5,Infrastructure,No,Party D,Yes,21.5,63,Sunny,4,8.2
VOTER_104,Andhra Pradesh,East,26,Male,No Schooling,Homemaker,Low,Urban,Party A,Yes,1,3,Education,No,Party B,Yes,13.62,146,Sunny,5,4.2
VOTER_105,Uttar Pradesh,West,32,Other,Graduate,Unemployed,Middle,Rural,Party A,Yes,5,4,Corruption,No,Party C,Yes,2.48,21,Cloudy,3,1.9
VOTER_106,West Bengal,Central,59,Male,Post Graduate,Homemaker,Middle,Rural,Party B,No,3,3,Corruption,Yes,Party C,Yes,8.23,43,Cloudy,4,8.4
VOTER_107,Uttar Pradesh,West,68,Male,Post Graduate,Farmer,Low,Urban,Party E,Yes,4,1,Women Safety,Yes,Party D,No,10.83,63,Cloudy,5,4.8
VOTER_108,Andhra Pradesh,North,80,Male,Post Graduate,Engineer,Middle,Rural,Party A,Yes,2,3,Education,Yes,Party A,Yes,3.78,107,Rainy,5,9.8
VOTER_109,West Bengal,West,69,Male,Higher Secondary,Student,High,Rural,Party A,Yes,5,3,Corruption,Yes,Party C,Yes,10.84,99,Rainy,3,2.5
VOTER_110,Bihar,South,21,Male,Primary,Business,Upper Middle,Rural,Party C,Yes,1,1,Infrastructure,No,Party A,Yes,5.96,66,Cloudy,1,2.1
VOTER_111,Rajasthan,West,40,Male,Post Graduate,Laborer,Low,Urban,Party A,No,1,4,Healthcare,Yes,Party B,Yes,6.1,164,Rainy,5,5.1
VOTER_112,Tamil Nadu,West,32,Male,Post Graduate,Retired,High,Rural,Party B,No,5,5,Healthcare,Yes,Party C,Yes,17.09,37,Cloudy,4,8.7
VOTER_113,Tamil Nadu,East,60,Other,No Schooling,Student,Upper Middle,Rural,Party D,Yes,4,1,Women Safety,No,Party B,No,11.82,116,Sunny,2,8.9
VOTER_114,Andhra Pradesh,West,46,Male,Higher Secondary,Engineer,Middle,Rural,Party B,Yes,5,3,Infrastructure,Yes,Party A,Yes,14.31,171,Sunny,3,8.7
VOTER_115,Bihar,East,53,Male,Graduate,Homemaker,Middle,Urban,Party E,No,1,2,Healthcare,No,Party E,No,12.24,92,Sunny,2,7.8
VOTER_116,Tamil Nadu,North,30,Male,Secondary,Student,High,Rural,Party C,No,2,3,Infrastructure,No,Party A,No,20.97,15,Cloudy,4,2.6
VOTER_117,Bihar,East,49,Other,Graduate,Homemaker,Middle,Rural,Party A,No,4,3,Women Safety,Yes,Party A,Yes,22.46,21,Sunny,2,9.5
VOTER_118,Rajasthan,East,76,Female,Higher Secondary,Business,Middle,Rural,Party B,Yes,5,2,Women Safety,No,Party A,Yes,7.11,108,Rainy,1,9.1
VOTER_119,Maharashtra,North,45,Male,Primary,Farmer,Middle,Rural,Party C,Yes,2,3,Unemployment,No,Party C,No,18.01,36,Rainy,2,5.4
VOTER_120,Gujarat,East,83,Other,Primary,Teacher,High,Rural,Party E,No,5,2,Unemployment,Yes,Party B,Yes,1.59,151,Sunny,5,1.9
VOTER_121,Andhra Pradesh,West,59,Other,Graduate,Engineer,Upper Middle,Rural,Party D,No,4,3,Unemployment,Yes,Party B,No,9.24,143,Sunny,5,2.2
VOTER_122,Maharashtra,North,62,Other,Graduate,Business,Low,Rural,Party E,No,1,4,Corruption,Yes,Party A,Yes,6.15,65,Rainy,1,4.7
VOTER_123,Uttar Pradesh,North,79,Female,Primary,Business,Low,Urban,Party C,Yes,4,5,Healthcare,No,Party E,No,22.09,99,Cloudy,5,5.3
VOTER_124,West Bengal,East,74,Other,Secondary,Unemployed,Middle,Rural,Party B,Yes,3,4,Unemployment,No,Party B,Yes,19.78,79,Sunny,2,1.3
VOTER_125,Karnataka,East,23,Other,Higher Secondary,Business,Upper Middle,Urban,Party C,No,5,1,Women Safety,Yes,Party B,Yes,3.66,54,Cloudy,3,1.1
VOTER_126,Rajasthan,South,45,Other,Secondary,Unemployed,High,Rural,Party C,No,2,1,Infrastructure,Yes,Party B,No,5.99,9,Sunny,3,4.5
VOTER_127,Tamil Nadu,North,45,Male,Primary,Engineer,Low,Urban,Party C,No,2,3,Crime,No,Party A,Yes,21.32,85,Cloudy,3,9.2
VOTER_128,Andhra Pradesh,Central,61,Male,Post Graduate,Teacher,High,Rural,Party D,Yes,4,1,Education,No,Party D,Yes,14.73,38,Cloudy,4,6.4
VOTER_129,Rajasthan,West,47,Other,Higher Secondary,Teacher,Middle,Urban,Party D,Yes,4,1,Women Safety,Yes,Party D,Yes,3.52,109,Cloudy,4,7.9
VOTER_130,West Bengal,East,79,Male,No Schooling,Farmer,Upper Middle,Rural,Party D,No,4,3,Healthcare,Yes,Party D,Yes,2.38,174,Rainy,2,7.6
VOTER_131,Karnataka,North,79,Male,Higher Secondary,Doctor,Low,Urban,Party E,No,2,3,Agriculture,No,Party E,No,20.37,43,Rainy,4,4.6
VOTER_132,West Bengal,North,18,Male,Secondary,Teacher,High,Rural,Party D,Yes,1,5,Healthcare,Yes,Party A,Yes,2.35,32,Cloudy,2,8.9
VOTER_133,Andhra Pradesh,West,44,Female,Secondary,Teacher,Low,Urban,Party B,Yes,2,2,Women Safety,No,Party E,No,10.65,143,Cloudy,5,4.8
VOTER_134,Karnataka,North,79,Other,Post Graduate,Engineer,Low,Urban,Party D,Yes,1,3,Crime,No,Party D,Yes,24.16,24,Cloudy,1,1.9
VOTER_135,Madhya Pradesh,Central,20,Female,Higher Secondary,Engineer,Low,Rural,Party B,No,4,5,Unemployment,No,Party E,Yes,24.26,102,Sunny,1,1.5
VOTER_136,Gujarat,South,44,Other,Post Graduate,Retired,Low,Rural,Party B,No,3,4,Infrastructure,No,Party C,Yes,1.24,64,Cloudy,1,3.2
VOTER_137,Rajasthan,West,26,Male,Graduate,Farmer,Upper Middle,Urban,Party B,No,2,1,Crime,Yes,Party A,No,0.54,158,Sunny,2,3.9
VOTER_138,Andhra Pradesh,Central,79,Other,Higher Secondary,Unemployed,Middle,Rural,Party A,No,4,2,Education,No,Party A,Yes,24.59,6,Cloudy,3,4.3
VOTER_139,Andhra Pradesh,North,54,Male,Primary,Farmer,High,Urban,Party E,No,2,4,Healthcare,Yes,Party C,Yes,11.67,126,Rainy,2,5.2
VOTER_140,Tamil Nadu,North,68,Other,Higher Secondary,Teacher,Upper Middle,Rural,Party D,Yes,4,3,Corruption,Yes,Party C,No,12.63,140,Rainy,5,5.9
VOTER_141,Maharashtra,East,61,Other,Secondary,Farmer,Low,Urban,Party E,Yes,2,4,Crime,No,Party E,Yes,24.74,104,Rainy,2,5.0
VOTER_142,Tamil Nadu,West,41,Other,Graduate,Engineer,Upper Middle,Rural,Party A,Yes,5,5,Healthcare,Yes,Party E,No,15.77,142,Sunny,3,4.5
VOTER_143,Uttar Pradesh,South,76,Other,Graduate,Laborer,Upper Middle,Rural,Party C,Yes,2,3,Healthcare,Yes,Party D,Yes,12.92,122,Cloudy,2,1.7
VOTER_144,Maharashtra,East,49,Male,Graduate,Doctor,Middle,Urban,Party C,No,5,3,Women Safety,Yes,Party D,No,17.86,28,Rainy,3,5.0
VOTER_145,Madhya Pradesh,North,69,Female,No Schooling,Unemployed,Middle,Rural,Party B,No,1,2,Unemployment,Yes,Party B,Yes,16.11,70,Sunny,5,7.8
VOTER_146,Rajasthan,South,79,Female,Secondary,Laborer,Upper Middle,Rural,Party B,Yes,2,5,Crime,Yes,Party C,Yes,11.13,92,Sunny,3,6.7
VOTER_147,Uttar Pradesh,West,75,Other,Graduate,Homemaker,Middle,Urban,Party A,Yes,1,1,Agriculture,No,Party B,Yes,15.45,17,Cloudy,2,8.9
VOTER_148,Maharashtra,Central,69,Male,Graduate,Student,Middle,Rural,Party D,No,3,4,Corruption,Yes,Party C,No,3.22,112,Sunny,2,6.6
VOTER_149,West Bengal,South,29,Female,Secondary,Student,Middle,Rural,Party E,Yes,5,2,Crime,Yes,Party D,Yes,23.24,169,Cloudy,2,2.9
VOTER_150,Gujarat,East,56,Other,No Schooling,Farmer,Middle,Rural,Party B,Yes,2,2,Infrastructure,No,Party A,No,1.65,103,Sunny,3,7.2
VOTER_151,Karnataka,Central,19,Female,Graduate,Unemployed,High,Rural,Party B,Yes,1,3,Infrastructure,No,Party A,Yes,4.1,96,Rainy,1,9.1
VOTER_152,Andhra Pradesh,Central,20,Male,Post Graduate,Engineer,Upper Middle,Urban,Party E,Yes,4,4,Corruption,Yes,Party C,Yes,4.7,150,Cloudy,1,7.6
VOTER_153,Gujarat,South,73,Male,Graduate,Teacher,Low,Rural,Party B,Yes,1,2,Crime,No,Party E,No,20.54,173,Rainy,3,2.9
VOTER_154,West Bengal,South,76,Female,Secondary,Doctor,High,Urban,Party B,No,2,3,Women Safety,No,Party E,Yes,15.61,56,Sunny,5,6.7
VOTER_155,Rajasthan,East,19,Female,Secondary,Homemaker,High,Urban,Party C,No,3,3,Crime,Yes,Party C,No,0.74,122,Cloudy,4,5.6
VOTER_156,Bihar,South,19,Other,Higher Secondary,Engineer,Upper Middle,Urban,Party E,Yes,5,5,Infrastructure,Yes,Party B,Yes,24.13,57,Cloudy,4,9.4
VOTER_157,Karnataka,West,71,Other,No Schooling,Engineer,Upper Middle,Rural,Party C,No,4,3,Education,Yes,Party E,No,23.9,91,Rainy,3,7.7
VOTER_158,Rajasthan,Central,18,Male,Primary,Teacher,Low,Urban,Party C,Yes,1,1,Corruption,Yes,Party D,Yes,19.37,30,Cloudy,5,4.6
VOTER_159,Karnataka,Central,36,Female,Primary,Retired,Upper Middle,Rural,Party B,Yes,2,5,Crime,Yes,Party A,No,1.38,129,Sunny,3,5.2
VOTER_160,Gujarat,East,19,Male,Primary,Unemployed,Upper Middle,Urban,Party E,Yes,2,5,Unemployment,Yes,Party A,No,5.25,179,Cloudy,5,6.6
VOTER_161,Tamil Nadu,South,70,Male,Primary,Unemployed,Low,Urban,Party B,No,5,1,Women Safety,No,Party E,Yes,16.25,146,Rainy,3,3.4
